race_id,date,year,meet,meet_name,rc_no,rc_name,classification,odds_present,sales_present
20210312-2-02,2021-03-12,2021,2,Jeju,2,일반,API179 sales source gap,"WIN,PLC,QNL",
20210312-2-03,2021-03-12,2021,2,Jeju,3,일반,API179 sales source gap,"WIN,PLC,QNL",
20210917-2-01,2021-09-17,2021,2,Jeju,1,일반,API179 sales source gap,"WIN,PLC,QNL,EXA,QPL,TLA,TRI",
20210917-2-02,2021-09-17,2021,2,Jeju,2,일반,API179 sales source gap,"WIN,PLC,QNL,EXA,QPL,TLA,TRI",
20210917-2-03,2021-09-17,2021,2,Jeju,3,일반,API179 sales source gap,"WIN,PLC,QNL,EXA,QPL,TLA,TRI",
20210917-2-04,2021-09-17,2021,2,Jeju,4,일반,API179 sales source gap,"WIN,PLC,QNL,EXA,QPL,TLA,TRI",
20210917-2-05,2021-09-17,2021,2,Jeju,5,일반,API179 sales source gap,"WIN,PLC,QNL,EXA,QPL,TLA,TRI",
20210917-2-06,2021-09-17,2021,2,Jeju,6,일반,API179 sales source gap,"WIN,PLC,QNL,EXA,QPL,TLA,TRI",
20210917-2-07,2021-09-17,2021,2,Jeju,7,일반,API179 sales source gap,"WIN,PLC,QNL,EXA,QPL,TLA,TRI",
20220219-2-01,2022-02-19,2022,2,Jeju,1,일반,API179 sales source gap,"WIN,PLC,QNL,EXA,QPL,TLA,TRI",
20220219-2-02,2022-02-19,2022,2,Jeju,2,일반,API179 sales source gap,"WIN,PLC,QNL,EXA,QPL,TLA,TRI",
20220318-2-05,2022-03-18,2022,2,Jeju,5,일반,API179 sales source gap,"WIN,PLC,QNL,EXA,QPL,TLA,TRI",
20220326-2-01,2022-03-26,2022,2,Jeju,1,일반,API179 sales source gap,"WIN,PLC,QNL,EXA,QPL,TLA,TRI",
20220326-2-02,2022-03-26,2022,2,Jeju,2,일반,API179 sales source gap,"WIN,PLC,QNL,EXA,QPL,TLA,TRI",
20220326-2-03,2022-03-26,2022,2,Jeju,3,일반,API179 sales source gap,"WIN,PLC,QNL,EXA,QPL,TLA,TRI",
20220326-2-04,2022-03-26,2022,2,Jeju,4,일반,API179 sales source gap,"WIN,PLC,QNL,EXA,QPL,TLA,TRI",
20220513-2-01,2022-05-13,2022,2,Jeju,1,일반,API179 sales source gap,"WIN,PLC,QNL,EXA,QPL,TLA,TRI",
20220513-2-02,2022-05-13,2022,2,Jeju,2,일반,API179 sales source gap,"WIN,PLC,QNL,EXA,QPL,TLA,TRI",
20221224-2-04,2022-12-24,2022,2,Jeju,4,일반,API179 sales source gap,"WIN,PLC,QNL,EXA,QPL,TLA,TRI",
20230113-2-01,2023-01-13,2023,2,Jeju,1,일반,API179 sales source gap,"WIN,PLC,QNL,EXA,QPL,TLA,TRI",
20230113-2-02,2023-01-13,2023,2,Jeju,2,일반,API179 sales source gap,"WIN,PLC,QNL,EXA,QPL,TLA,TRI",
20230113-2-03,2023-01-13,2023,2,Jeju,3,일반,API179 sales source gap,"WIN,PLC,QNL,EXA,QPL,TLA,TRI",
20230114-2-01,2023-01-14,2023,2,Jeju,1,일반,API179 sales source gap,"WIN,PLC,QNL,EXA,QPL,TLA,TRI",
20230114-2-02,2023-01-14,2023,2,Jeju,2,일반,API179 sales source gap,"WIN,PLC,QNL,EXA,QPL,TLA,TRI",
20230114-2-03,2023-01-14,2023,2,Jeju,3,일반,API179 sales source gap,"WIN,PLC,QNL,EXA,QPL,TLA,TRI",
20230114-2-04,2023-01-14,2023,2,Jeju,4,일반,API179 sales source gap,"WIN,PLC,QNL,EXA,QPL,TLA,TRI",
20230114-2-05,2023-01-14,2023,2,Jeju,5,일반,API179 sales source gap,"WIN,PLC,QNL,EXA,QPL,TLA,TRI",
20230114-2-06,2023-01-14,2023,2,Jeju,6,일반,API179 sales source gap,"WIN,PLC,QNL,EXA,QPL,TLA,TRI",
20230114-2-07,2023-01-14,2023,2,Jeju,7,일반,API179 sales source gap,"WIN,PLC,QNL,EXA,QPL,TLA,TRI",
20230115-1-01,2023-01-15,2023,1,Seoul,1,일반,API179 sales source gap,"WIN,PLC,QNL,EXA,QPL,TLA,TRI",
20230115-1-02,2023-01-15,2023,1,Seoul,2,일반,API179 sales source gap,"WIN,PLC,QNL,EXA,QPL,TLA,TRI",
20230414-2-06,2023-04-14,2023,2,Jeju,6,일반,API179 sales source gap,"WIN,PLC,QNL,EXA,QPL,TLA,TRI",
20230429-2-01,2023-04-29,2023,2,Jeju,1,일반,API179 sales source gap,"WIN,PLC,QNL,EXA,QPL,TLA,TRI",
20230429-2-02,2023-04-29,2023,2,Jeju,2,일반,API179 sales source gap,"WIN,PLC,QNL,EXA,QPL,TLA,TRI",
20230506-1-01,2023-05-06,2023,1,Seoul,1,일반,API179 sales source gap,"WIN,PLC,QNL,EXA,QPL,TLA,TRI",
20230506-1-02,2023-05-06,2023,1,Seoul,2,일반,API179 sales source gap,"WIN,PLC,QNL,EXA,QPL,TLA,TRI",
20230506-1-03,2023-05-06,2023,1,Seoul,3,일반,API179 sales source gap,"WIN,PLC,QNL,EXA,QPL,TLA,TRI",
20230506-1-04,2023-05-06,2023,1,Seoul,4,일반,API179 sales source gap,"WIN,PLC,QNL,EXA,QPL,TLA,TRI",
20230506-1-05,2023-05-06,2023,1,Seoul,5,일반,API179 sales source gap,"WIN,PLC,QNL,EXA,QPL,TLA,TRI",
20230506-1-06,2023-05-06,2023,1,Seoul,6,일반,API179 sales source gap,"WIN,PLC,QNL,EXA,QPL,TLA,TRI",
20230506-1-07,2023-05-06,2023,1,Seoul,7,일반,API179 sales source gap,"WIN,PLC,QNL,EXA,QPL,TLA,TRI",
20230506-1-08,2023-05-06,2023,1,Seoul,8,일반,API179 sales source gap,"WIN,PLC,QNL,EXA,QPL,TLA,TRI",
20230506-1-09,2023-05-06,2023,1,Seoul,9,일반,API179 sales source gap,"WIN,PLC,QNL,EXA,QPL,TLA,TRI",
20230513-2-01,2023-05-13,2023,2,Jeju,1,일반,API179 sales source gap,"WIN,PLC,QNL,EXA,QPL,TLA,TRI",
20231215-2-01,2023-12-15,2023,2,Jeju,1,일반,API179 sales source gap,"WIN,PLC,QNL,EXA,QPL,TLA,TRI",
20231215-2-02,2023-12-15,2023,2,Jeju,2,일반,API179 sales source gap,"WIN,PLC,QNL,EXA,QPL,TLA,TRI",
20240414-1-04,2024-04-14,2024,1,Seoul,4,일반,API179 sales source gap,"WIN,PLC,QNL,EXA,QPL,TLA,TRI",
20250503-2-01,2025-05-03,2025,2,Jeju,1,일반,API179 sales source gap,"WIN,PLC,QNL,EXA,QPL,TLA,TRI",
20250503-2-02,2025-05-03,2025,2,Jeju,2,일반,API179 sales source gap,"WIN,PLC,QNL,EXA,QPL,TLA,TRI",
20250503-2-03,2025-05-03,2025,2,Jeju,3,일반,API179 sales source gap,"WIN,PLC,QNL,EXA,QPL,TLA,TRI",
20250524-2-04,2025-05-24,2025,2,Jeju,4,일반,API179 sales source gap,"WIN,PLC,QNL,EXA,QPL,TLA,TRI",
20251017-2-01,2025-10-17,2025,2,Jeju,1,일반,single/double odds source gap,"TLA,TRI","WIN,PLC,QNL,EXA,QPL,TLA,TRI"
20251017-2-02,2025-10-17,2025,2,Jeju,2,일반,single/double odds source gap,"TLA,TRI","WIN,PLC,QNL,EXA,QPL,TLA,TRI"
20251017-2-03,2025-10-17,2025,2,Jeju,3,일반,single/double odds source gap,"TLA,TRI","WIN,PLC,QNL,EXA,QPL,TLA,TRI"
20251017-2-04,2025-10-17,2025,2,Jeju,4,일반,single/double odds source gap,"TLA,TRI","WIN,PLC,QNL,EXA,QPL,TLA,TRI"
20251017-2-05,2025-10-17,2025,2,Jeju,5,일반,single/double odds source gap,"TLA,TRI","WIN,PLC,QNL,EXA,QPL,TLA,TRI"
20251017-2-06,2025-10-17,2025,2,Jeju,6,일반,single/double odds source gap,"TLA,TRI","WIN,PLC,QNL,EXA,QPL,TLA,TRI"
20251017-2-07,2025-10-17,2025,2,Jeju,7,일반,single/double odds source gap,"TLA,TRI","WIN,PLC,QNL,EXA,QPL,TLA,TRI"
20251017-2-08,2025-10-17,2025,2,Jeju,8,일반,single/double odds source gap,"TLA,TRI","WIN,PLC,QNL,EXA,QPL,TLA,TRI"
20251017-3-01,2025-10-17,2025,3,Busan-Gyeongnam,1,일반,single/double odds source gap,"TLA,TRI","WIN,PLC,QNL,EXA,QPL,TLA,TRI"
20251017-3-02,2025-10-17,2025,3,Busan-Gyeongnam,2,일반,single/double odds source gap,"TLA,TRI","WIN,PLC,QNL,EXA,QPL,TLA,TRI"
20251017-3-03,2025-10-17,2025,3,Busan-Gyeongnam,3,일반,single/double odds source gap,"TLA,TRI","WIN,PLC,QNL,EXA,QPL,TLA,TRI"
20251017-3-04,2025-10-17,2025,3,Busan-Gyeongnam,4,일반,single/double odds source gap,"TLA,TRI","WIN,PLC,QNL,EXA,QPL,TLA,TRI"
20251017-3-05,2025-10-17,2025,3,Busan-Gyeongnam,5,일반,single/double odds source gap,"TLA,TRI","WIN,PLC,QNL,EXA,QPL,TLA,TRI"
20251017-3-06,2025-10-17,2025,3,Busan-Gyeongnam,6,일반,single/double odds source gap,"TLA,TRI","WIN,PLC,QNL,EXA,QPL,TLA,TRI"
20251017-3-07,2025-10-17,2025,3,Busan-Gyeongnam,7,일반,single/double odds source gap,"TLA,TRI","WIN,PLC,QNL,EXA,QPL,TLA,TRI"
20251017-3-08,2025-10-17,2025,3,Busan-Gyeongnam,8,일반,single/double odds source gap,"TLA,TRI","WIN,PLC,QNL,EXA,QPL,TLA,TRI"
20251213-2-02,2025-12-13,2025,2,Jeju,2,일반,API179 sales source gap,"WIN,PLC,QNL,EXA,QPL,TLA,TRI",
20251220-2-04,2025-12-20,2025,2,Jeju,4,일반,API179 sales source gap,"WIN,PLC,QNL,EXA,QPL,TLA,TRI",
